time,x,theta
7.29,-0.455882,1.96849
7.3,-0.451715,2.03286
7.31,-0.446793,2.09906
7.32,-0.441085,2.16712
7.33,-0.434559,2.23708
7.34,-0.427193,2.30898
7.35,-0.41897,2.38284
7.36,-0.409886,2.45864
7.37,-0.399949,2.53636
7.38,-0.389184,2.61595
7.39,-0.377638,2.69728
7.4,-0.365376,2.78022
7.41,-0.352492,2.86455
7.42,-0.339102,2.95002
7.43,-0.325346,3.0363
7.44,-0.311383,3.12304
7.45,-0.297383,-3.07331
7.46,-0.283519,-2.98679
7.47,-0.269959,-2.90094
7.48,-0.256857,-2.81611
7.49,-0.244344,-2.73259
7.5,-0.232531,-2.65062
7.51,-0.2215,-2.57037
7.52,-0.211309,-2.49198
7.53,-0.201995,-2.41553
7.54,-0.193574,-2.34106
7.55,-0.186048,-2.26858
7.56,-0.179405,-2.19807
7.57,-0.173623,-2.12952
7.58,-0.168674,-2.06288
7.59,-0.164524,-1.9981
7.6,-0.161135,-1.93513
7.61,-0.158469,-1.87392
7.62,-0.156484,-1.81442
7.63,-0.155138,-1.75658
7.64,-0.15439,-1.70036
7.65,-0.154198,-1.6457
7.66,-0.154521,-1.59256
7.67,-0.15532,-1.54092
7.68,-0.156557,-1.49072
7.69,-0.158193,-1.44194
7.7,-0.160193,-1.39455
7.71,-0.162521,-1.34853
7.72,-0.165145,-1.30384
7.73,-0.168031,-1.26046
7.74,-0.171151,-1.21838
7.75,-0.174474,-1.17758
7.76,-0.177973,-1.13804
7.77,-0.181622,-1.09973
7.78,-0.185396,-1.06266
7.79,-0.189272,-1.02679
7.8,-0.193228,-0.99212
7.81,-0.197244,-0.958634
7.82,-0.201301,-0.926316
7.83,-0.205381,-0.895153
7.84,-0.209469,-0.865132
7.85,-0.21355,-0.836238
7.86,-0.217609,-0.808458
7.87,-0.221635,-0.781776
7.88,-0.225616,-0.756179
7.89,-0.229542,-0.731651
7.9,-0.233405,-0.708177
7.91,-0.237196,-0.685742
7.92,-0.240908,-0.664331
7.93,-0.244535,-0.643927
7.94,-0.248071,-0.624515
7.95,-0.251512,-0.60608
7.96,-0.254854,-0.588605
7.97,-0.258093,-0.572076
7.98,-0.261226,-0.556477
7.99,-0.264251,-0.541792
8,-0.267166,-0.528008
8.01,-0.26997,-0.515109
8.02,-0.272661,-0.503083
8.03,-0.275237,-0.491916
8.04,-0.2777,-0.481595
8.05,-0.280047,-0.472108
8.06,-0.282279,-0.463445
8.07,-0.284396,-0.455595
8.08,-0.286396,-0.448549
8.09,-0.288281,-0.442297
